cercle choisi;acote coord (x, y);temps de reponse;temps ecoule
Cercle 12;Cible;0.01898090750282222;34.879860611396424
Cercle 10;Cible;0.01686562718717255;35.14266695986302
Cercle 14;Cible;0.007712403928280764;35.36850390276604
Cercle 12;Cible;0.05396344290178945;35.66514160808896
Cercle 10;Cible;0.0354387401528129;35.91036848380023
Cercle 8;Cible;0.05973984841858737;36.18678589802184
Cercle 6;Cible;0.031970025050213735;36.42535513817015
Cercle 4;Cible;0.09416771760598408;36.73622134463892
Cercle 1;Cible;0.051881803584166164;36.99451610706373
Cercle 2;Cible;0.06895707162496478;37.2728153658951
Cercle 7;Cible;0.04992201032041521;37.53319381891791
Cercle 9;Cible;0.014987474882076413;37.76610726883507
Cercle 11;Cercle 13;Cible;0.23277724490074547;38.21998094770797
Cible;-0.04199258092916125;38.21998094770797
Cercle 5;Cible;0.11342924026317291;38.544942732354684
Cercle 3;Cercle 0;Cible;0.19877850356635918;39.01336901467158
Cible;-0.04842375513948127;39.01336901467158
Cercle 4;Cible;0.09682084363416266;39.31766497012106
Cercle 1;Cible;0.022184186925784388;39.63157937921693
Cercle 9;Cible;0.07950803732674672;39.93186549180268
Cercle 8;Cible;6.651448491119169;46.81596609972013
Cercle 1;Cible;0.14343126692818942;47.18382261840196
Cercle 3;Cible;0.10906370538361898;47.52415833915214
Cercle 5;Cible;0.03277535772278384;47.81763584193985
Cercle 7;Cible;0.16506817225177883;48.20650526645724
Cercle 2;Cible;0.19206548343345275;48.623988000830366
Cercle 10;Cible;0.14545875244411377;48.98406565409999
Cercle 14;Cible;0.09294597501869362;49.30686005590971
Cercle 12;Cible;0.0482210886390817;49.56291646119675
Cercle 6;Cible;0.10711088647312295;49.884338556440184
Cercle 4;Cible;0.07241553032571346;50.217306898619995
Cercle 0;Cible;0.09247048822933834;50.526277311772475
Cercle 3;Cible;0.04395606649759998;50.84628771586651
Cercle 5;Cible;0.10474699097684947;51.1784101100225
Cercle 11;Cible;0.07049430113289645;51.51780224180331
Coords(1001,273);A cote;13.020401624285824;64.75694255840611
