cible;cercle choisi;resultat;temps de reponse;temps ecoule
Cercle 14;Cercle 14;Cible;1.3770084029999996;1.377704239999999
Cercle 1;Cercle 1;Cible;1.1009076740000001;2.6121442880000005
Cercle 2;Cercle 2;Cible;0.9232987819999998;3.6923324969999998
Cercle 10;Cercle 10;Cible;0.9095859560000008;4.734042334000001
Cercle 0;Cercle 0;Cible;0.9544388670000004;5.8299597919999995
Cercle 5;Cercle 5;Cible;0.7114473070000003;6.6736993159999995
Cercle 6;Cercle 6;Cible;1.0659592320000009;7.8721447410000005
Cercle 1;Cercle 1;Cible;0.7675335070000013;8.770280258
Cercle 1;Cercle 1;Cible;0.5840563209999985;9.534166886999998
Cercle 1;Cercle 1;Cible;0.5179992690000006;10.209985213
Cercle 11;Cercle 11;Cible;0.7591250820000006;11.099990339999998
Cercle 14;Cercle 14;Cible;0.9826534600000016;12.213782274
Cercle 12;Cercle 12;Cible;0.8669596659999996;13.25040967
Cercle 1;Cercle 1;Cible;0.8693879939999967;14.250239731999997
Cercle 0;Cercle 0;Cible;0.9818611600000011;15.41183286
Cercle 13;Cercle 13;Cible;1.2445223510000005;16.828192747
Cercle 0;Cercle 0;Cible;1.2022376060000006;18.158247738
Cercle 13;Cercle 13;Cible;1.109379109999999;19.424425857
Cercle 6;Cercle 6;Cible;1.3757616030000008;20.942154049
Cercle 10;Cercle 10;Cible;0.9520539299999982;22.020445167
Cercle 8;Cercle 8;Cible;1.207808570000001;23.355785314
Cercle 1;Cercle 1;Cible;0.8681592380000005;24.368186866
Cercle 10;Cercle 10;Cible;0.9153204269999975;25.410470557999997
Cercle 2;Cercle 2;Cible;1.4544573019999945;26.996419426999996
Cercle 14;Cercle 14;Cible;1.0915778729999985;28.21577528
Cercle 9;Cercle 9;Cible;1.684765089999999;30.064029007
Cercle 14;Cercle 14;Cible;1.1547737719999986;31.345771455999998
Cercle 5;Cercle 5;Cible;1.0635552500000003;32.550394644
Cercle 8;Cercle 8;Cible;1.1535465600000023;33.832396256
Cercle 3;Cercle 3;Cible;1.2328558479999998;35.192266985
Cercle 9;Cercle 9;Cible;1.0457346729999983;36.364465795
Cercle 10;Cercle 10;Cible;1.074462449000002;37.566258865
Cercle 1;Cercle 1;Cible;1.2379132909999981;38.982370705
Cercle 13;Cercle 13;Cible;1.0744046989999987;40.184447558
Cercle 13;Cercle 13;Cible;0.891422501000001;41.251920041000005
Cercle 6;Cercle 6;Cible;1.0409875920000005;42.44794032
Cercle 3;Cercle 3;Cible;0.8604279919999982;43.444400952
Cercle 14;Cercle 14;Cible;1.121177074000002;44.742388791
Cercle 11;Cercle 11;Cible;1.0052988670000005;45.874419482
Cercle 3;Cercle 3;Cible;1.2891100730000034;47.308203584000005
Cercle 6;Cercle 6;Cible;1.0090162959999986;48.485461721
Cercle 11;Cercle 11;Cible;1.0076739060000008;49.634411474000004
Cercle 9;Cercle 9;Cible;0.8484328850000011;50.626467856000005
Cercle 4;Cercle 4;Cible;1.1607578449999991;51.928467218
Cercle 2;Cercle 2;Cible;1.075864267;53.136350642000004
Cercle 14;Cercle 14;Cible;1.0043009260000062;54.322368360000006
Cercle 4;Cercle 4;Cible;3.898313189999996;58.370251380999996
Cercle 9;Cercle 9;Cible;2.415990086000008;60.916396342000006
Cercle 11;Coords(17,386);A cote;603.7830385259999;664.868796073
