cible;cercle choisi;resultat;temps de reponse;temps ecoule
Cercle 7;Cercle 7;Cible;1.022785001;1.0235212740000001
Cercle 4;Cercle 3;Cercle gris;0.6811111370000011;1.8497319310000009
Cercle 2;Cercle 1;Cercle gris;0.6510918449999998;2.6035556720000006
Cercle 4;Cercle 8;Cercle gris;0.6193683540000006;3.325589203
Cercle 11;Cercle 6;Cercle gris;0.5647863909999984;3.994030049999999
Cercle 11;Cercle 11;Cible;1.1169338910000004;5.2139840490000005
Cercle 12;Cercle 12;Cible;1.2343077820000001;6.628094183
Cercle 6;Cercle 6;Cible;0.7313881159999998;7.492313724000001
Cercle 12;Cercle 12;Cible;0.8517654819999994;8.476260856
Cercle 2;Cercle 2;Cible;0.9146914180000003;9.524234376
