cible;cercle choisi;resultat;temps de reponse;temps ecoule
Cercle 12;Cercle 12;Cible;1.4029367619999995;1.4036347699999991
Cercle 14;Cercle 14;Cible;1.0543492200000006;2.6358296599999997
Cercle 1;Cercle 1;Cible;0.9844552669999995;3.7543230099999993
Cercle 3;Cercle 3;Cible;0.9614307610000008;4.886501437000001
Cercle 1;Cercle 1;Cible;0.8524840470000008;5.870581637
Cercle 2;Cercle 2;Cible;0.9491100789999987;6.950357534999999
Cercle 12;Cercle 12;Cible;1.6079081690000017;8.688298755000002
Cercle 6;Cercle 6;Cible;0.7439118289999982;9.578487143
Cercle 13;Cercle 13;Cible;1.2200710679999993;10.928289661
Cercle 11;Cercle 11;Cible;0.8813979120000006;11.946191923
Cercle 10;Cercle 10;Cible;1.2662144939999997;13.384469918
Cercle 9;Cercle 9;Cible;0.9195623720000015;14.432261615000002
Cercle 11;Cercle 11;Cible;0.9818903769999991;15.544531883000001
Cercle 7;Cercle 7;Cible;0.8718080109999988;16.586094267
Cercle 11;Cercle 11;Cible;0.9813886489999994;17.746172378
Cercle 6;Cercle 6;Cible;1.053800915;18.970259621
Cercle 9;Cercle 9;Cible;1.1679159049999974;20.266296024
Cercle 5;Cercle 5;Cible;0.974883706;21.418280494
Cercle 12;Cercle 12;Cible;1.3152775870000006;22.908569584000002
Cercle 8;Cercle 8;Cible;0.8844449240000003;23.934610286
Cercle 11;Cercle 1;Cercle gris;0.974695925999999;25.071873428
Cercle 12;Cercle 0;Cercle gris;1.1235274900000007;26.298103244
Cercle 10;Cercle 3;Cercle gris;1.0665950039999998;27.466479858000003
Cercle 7;Coords(300,208);A cote;1.0346608899999978;28.604216730999998
Cercle 6;Coords(334,448);A cote;1.2676467989999978;29.974677519
Cercle 5;Coords(763,815);A cote;1.1848450069999998;31.262590294000002
Cercle 4;Cercle 2;Cercle gris;1.0972104940000023;32.462551710999996
Cercle 12;Cercle 7;Cercle gris;0.9392346429999989;33.504463693999995
Cercle 11;Cercle 9;Cercle gris;1.208933131000002;34.816480062
Cercle 12;Cercle 12;Cible;1.249985781999996;36.169131564999994
Cercle 13;Cercle 13;Cible;1.170016240999999;37.471960450999994
Cercle 3;Cercle 3;Cible;1.558782549;39.158472792
Cercle 6;Cercle 6;Cible;1.1443876619999998;40.430473096
Cercle 10;Cercle 10;Cible;1.054989188999997;41.612369646999994
Cercle 11;Cercle 11;Cible;1.0483039820000002;42.788588078
Cercle 9;Cercle 9;Cible;1.0870941820000013;44.004064264
Cercle 6;Cercle 6;Cible;1.1957616309999963;45.366306099999996
Cercle 4;Cercle 4;Cible;0.9630673859999987;46.488483929999994
Cercle 2;Cercle 2;Cible;1.2945238060000008;47.910529284999996
Cercle 5;Cercle 5;Cible;1.130171788999995;49.200134678999994
Cercle 1;Cercle 1;Cible;1.0114555299999992;50.338449366999996
