cible;cercle choisi;resultat;temps de reponse;temps ecoule
Cercle 13;Cercle 13;Cible;1.4567682939999989;1.4575284089999991
Cercle 9;Cercle 11;Cercle gris;0.673939378;2.2432001379999997
Cercle 8;Cercle 5;Cercle gris;0.6579505589999997;3.003872982
Cercle 6;Coords(641,436);A cote;0.4934901010000008;3.6000479390000004
Cercle 10;Cercle 10;Cible;0.9531025189999998;4.656012028
Cercle 1;Cercle 1;Cible;0.965347251999999;5.734099468999999
Cercle 5;Cercle 5;Cible;1.2371734110000006;7.08371701
Cercle 10;Cercle 10;Cible;2.062368534000001;9.257835423
Cercle 3;Cercle 3;Cible;0.9822325079999992;10.351540096999997
Cercle 9;Cercle 9;Cible;1.0331093689999982;11.565707631999999
Cercle 4;Cercle 4;Cible;1.241210572;12.940082217
