cible;cercle choisi;resultat;temps de reponse;temps ecoule
Cercle 7;Cercle 7;Cible;1.1429446720000005;1.1438192990000005
Cercle 7;Cercle 7;Cible;0.6629555959999998;1.9552067639999997
Cercle 5;Cercle 5;Cible;1.333997191;3.451975266
Cercle 4;Cercle 4;Cible;1.1307990750000005;4.694024023000001
Cercle 13;Cercle 13;Cible;1.0226767760000008;5.828234480000001
Cercle 1;Cercle 11;Cercle gris;0.723550543;6.6639902289999995
Cercle 9;Cercle 5;Cercle gris;0.6648986079999997;7.431690001
Cercle 12;Cercle 3;Cercle gris;0.6834800409999993;8.217866446
Cercle 13;Cercle 0;Cercle gris;0.7954398869999988;9.116151569
Cercle 11;Cercle 11;Cible;1.0247340079999994;10.243971262999999
Cercle 10;Cercle 10;Cible;1.070114026999999;11.426160432
Cercle 14;Cercle 14;Cible;0.921266940999999;12.459988398
Cercle 14;Cercle 14;Cible;0.7684041649999998;13.341976484
Cercle 2;Cercle 2;Cible;1.0541059500000003;14.558201891
Cercle 8;Cercle 8;Cible;0.8027801879999998;15.472139745
Cercle 10;Cercle 10;Cible;0.8984617129999997;16.514102849
Cercle 14;Cercle 14;Cible;0.9680565009999995;17.63418048
Cercle 2;Cercle 2;Cible;0.8964709510000013;18.659520269
Cercle 4;Cercle 4;Cible;0.9470119009999998;19.756144827
Cercle 12;Cercle 12;Cible;0.9449058410000006;20.83015934
Cercle 13;Cercle 13;Cible;0.9525578220000028;21.910160993
Cercle 2;Cercle 2;Cible;1.1427938480000002;23.182138256
Cercle 11;Cercle 11;Cible;1.0344045500000014;24.343944134
Cercle 5;Cercle 5;Cible;0.8011614830000049;25.274163582000003
Cercle 3;Cercle 3;Cible;0.7851710089999955;26.203906715
Cercle 2;Cercle 2;Cible;1.0720569569999938;27.428140703999997
Cercle 0;Cercle 0;Cible;0.8971923619999984;28.453488384
Cercle 8;Cercle 8;Cible;0.8917562230000016;29.49584141
Cercle 5;Cercle 7;Cercle gris;0.8840062290000006;30.537513339000004
Cercle 3;Cercle 9;Cercle gris;1.3698025770000015;32.009993929000004
Cercle 14;Cercle 2;Cercle gris;1.4109561890000037;33.52369366400001
Cercle 2;Cercle 1;Cercle gris;0.6452640819999971;34.272005250999996
Cercle 10;Coords(814,453);A cote;0.6692603179999992;35.044013214
Cercle 2;Coords(650,432);A cote;0.6369004630000035;35.784124221
Cercle 7;Coords(510,521);A cote;0.69461175;36.58152461
Cercle 6;Cercle 2;Cercle gris;0.5979626860000025;37.282168002000006
Cercle 13;Cercle 10;Cercle gris;0.628187619000002;38.013497928999996
Cercle 8;Cercle 4;Cercle gris;0.6537873560000023;38.769977274
Cercle 6;Cercle 3;Cercle gris;0.6221825029999977;39.49401709599999
Cercle 9;Coords(745,536);A cote;0.6072478500000003;40.204010354999994
Cercle 13;Coords(748,378);A cote;0.509987744;40.816317361
Cercle 9;Coords(748,378);A cote;0.2952295180000064;41.213842258
Cercle 1;Coords(748,378);A cote;0.0949787230000041;41.411941948000006
Cercle 0;Coords(748,378);A cote;0.05785778100000272;41.57191439
Cercle 3;Coords(748,378);A cote;0.4793916989999971;42.154009868
Cercle 8;Coords(748,378);A cote;0.13493831800000322;42.391761875
Cercle 1;Coords(748,378);A cote;0.29547250299999916;42.789774961999996
Cercle 3;Coords(748,378);A cote;0.23270540699999742;43.125323931
Cercle 13;Coords(748,378);A cote;0.4622699310000016;43.689993705000006
