cible;cercle choisi;resultat;temps de reponse;temps ecoule
Cercle 7;Cercle 7;Cible;1.303380622999999;1.3042177319999997
Cercle 7;Cercle 7;Cible;1.077014931999999;2.4937955039999995
Cercle 14;Cercle 14;Cible;1.1813894549999997;3.8358352910000004
Cercle 1;Cercle 1;Cible;0.8978443729999999;4.889856408
Cercle 13;Cercle 13;Cible;0.9702155619999999;5.993990991
Cercle 3;Cercle 3;Cible;0.9289632200000018;7.086033787000002
Cercle 12;Cercle 12;Cible;0.9123466789999988;8.110344235
Cercle 2;Cercle 2;Cible;0.8567030590000009;9.083982754
Cercle 3;Cercle 3;Cible;0.869764834999998;10.066051347999998
Cercle 1;Cercle 1;Cible;0.6292739249999997;10.868130318999999
Cercle 10;Cercle 10;Cible;0.8584374790000027;11.858323807000001
Cercle 9;Cercle 9;Cible;0.8505168949999984;12.840362597999999
Cercle 4;Cercle 4;Cible;0.8301110979999997;13.800338996
Cercle 12;Cercle 12;Cible;1.0682383790000003;14.998385004
Cercle 3;Cercle 3;Cible;0.856974429000001;16.035855625
Cercle 7;Cercle 7;Cible;0.7834362150000018;16.949636644
Cercle 2;Cercle 2;Cible;0.8921545900000005;18.006186574
Cercle 10;Cercle 10;Cible;0.9612574170000023;19.12435354
Cercle 0;Cercle 0;Cible;0.9111193270000015;20.164350884
Cercle 13;Cercle 13;Cible;0.9358524609999996;21.234325234
Cercle 3;Cercle 3;Cible;0.9662177219999997;22.330300934
Cercle 5;Cercle 5;Cible;0.8161802229999999;23.27438916
Cercle 4;Cercle 4;Cible;0.8964847909999989;24.298335936
Cercle 9;Cercle 9;Cible;0.8203587889999966;25.265901545
Cercle 13;Cercle 13;Cible;0.8183005210000047;26.211933655000003
Cercle 0;Cercle 0;Cible;0.8189065179999986;27.158399154
Cercle 10;Cercle 10;Cible;0.9690577459999972;28.254279147
Cercle 8;Cercle 8;Cible;0.6389911469999987;29.072062109
Cercle 2;Cercle 2;Cible;0.6600025830000007;29.860312526
Cercle 7;Cercle 7;Cible;0.6149335709999946;30.653988163999998
Cercle 3;Cercle 3;Cible;0.6680168599999945;31.450079592999998
Cercle 12;Cercle 12;Cible;0.9054088250000021;32.529838785
Cercle 12;Cercle 12;Cible;0.6859582240000037;33.358211369
Cercle 3;Cercle 3;Cible;0.7214984020000017;34.233939867000004
Cercle 9;Cercle 9;Cible;1.0874283499999962;35.448358512
Cercle 6;Cercle 6;Cible;8.571486253000003;44.183874109
Cercle 14;Cercle 14;Cible;0.7666818200000023;45.120318705
Cercle 2;Cercle 2;Cible;0.7205955049999986;46.018155309
Cercle 9;Cercle 9;Cible;0.6812159329999972;46.826348671
Cercle 0;Cercle 0;Cible;0.7333866609999973;47.722348135
Cercle 12;Cercle 12;Cible;2.3851870179999963;50.23585178
Cercle 1;Cercle 1;Cible;2.645639451000001;53.013983042
Cercle 11;Cercle 11;Cible;1.4045170309999975;54.568295346
Cercle 3;Cercle 3;Cible;1.1565454349999982;55.884335570999994
Cercle 7;Cercle 7;Cible;0.953352572;56.97028314400001
Cercle 0;Cercle 0;Cible;1.011278720000007;58.114353617000006
Cercle 8;Cercle 8;Cible;1.160196323000008;59.416346531
Cercle 5;Coords(15,706);A cote;1344.846971884;1404.393581549
Cercle 8;Cercle 8;Cible;3.725123593999797;1408.2609287619998
Cercle 6;Cercle 6;Cible;1.114076422999915;1409.5259794269998
Cercle 6;Cercle 6;Cible;0.7746340260000579;1410.438600865
Cercle 14;Cercle 14;Cible;1.1757434429998739;1411.7892640149998
Cercle 10;Cercle 10;Cible;0.9502548180000758;1412.869179828
